Player,Age,Team,PTS,TRB,AST,MP,Breakout_Probability
Jaylin Williams,21.0,OKC,4.0,3.4,1.6,13.0,0.8511194608705683
Max Christie,20.0,LAL,4.2,2.1,0.9,14.1,0.8324828560047286
Ousmane Dieng,20.0,OKC,4.0,1.5,1.1,11.1,0.8260828577327077
Jaden Hardy,21.0,DAL,7.3,1.8,1.5,13.5,0.8130875467578558
Dominick Barlow,20.0,SAS,4.4,3.4,1.1,12.7,0.8071648632296786
Blake Wesley,20.0,SAS,4.4,1.5,2.7,14.4,0.7982191318903011
Trendon Watford,23.0,BRK,6.9,3.1,1.3,13.6,0.7842385651519963
Dyson Daniels,20.0,NOP,5.8,3.9,2.7,22.3,0.7828734971089597
Cole Anthony,23.0,ORL,11.6,3.8,2.9,22.4,0.7770574042005731
Isaiah Jackson,22.0,IND,6.5,4.0,0.8,13.1,0.7653367723091095
Malaki Branham,20.0,SAS,9.2,2.0,2.1,21.3,0.7633801933751968
Johnny Davis,21.0,WAS,3.0,1.4,0.6,12.3,0.7591696856545874
Moses Moody,21.0,GSW,8.1,3.0,0.9,17.5,0.7578689799262464
James Wiseman,22.0,DET,7.1,5.3,0.9,17.3,0.7435469851311337
Bryce McGowens,21.0,CHO,5.1,1.7,0.9,14.9,0.7295916502582372
Jarred Vanderbilt,24.0,LAL,5.2,4.8,1.2,20.0,0.7147347812010163
JT Thor,21.0,CHO,3.2,2.3,0.5,12.4,0.7140868274217316
Day'Ron Sharpe,22.0,BRK,6.8,6.4,1.4,15.1,0.7127521514509255
Jaxson Hayes,23.0,LAL,4.3,3.0,0.5,12.5,0.7083549923116991
Brandon Boston Jr.,22.0,LAC,5.2,1.6,0.4,10.8,0.6990984264983896
Christian Braun,22.0,DEN,7.3,3.7,1.6,20.2,0.6928627227250372
Caleb Houstan,21.0,ORL,4.3,1.4,0.5,13.8,0.6806759752655154
Bones Hyland,23.0,LAC,6.9,1.5,2.5,14.6,0.6711784781539072
David Roddy,22.0,PHO,6.5,3.2,1.2,18.1,0.6582483683273815
Walker Kessler,22.0,UTA,8.1,7.5,0.9,23.3,0.65779057879117
Bol Bol,24.0,PHO,5.2,3.2,0.4,10.9,0.6533762997820938
Isaiah Joe,24.0,OKC,8.2,2.3,1.3,18.5,0.6315156139693328
Bennedict Mathurin,21.0,IND,14.5,4.0,2.0,26.1,0.627286838840136
Ziaire Williams,22.0,MEM,8.2,3.5,1.5,20.4,0.6192076628508423
Tari Eason,22.0,HOU,9.8,7.0,1.2,21.8,0.6143580610594106
MarJon Beauchamp,23.0,MIL,4.4,2.1,0.6,12.7,0.6109506268261263
Talen Horton-Tucker,23.0,UTA,10.1,2.4,3.5,19.8,0.6080263411694163
Jabari Walker,21.0,POR,8.9,7.1,1.0,23.6,0.6034828960443279
Onyeka Okongwu,23.0,ATL,10.2,6.8,1.3,25.5,0.5960215713570194
Josh Giddey,21.0,OKC,12.3,6.4,4.8,25.1,0.5891543948981947
Paul Reed,24.0,PHI,7.3,6.0,1.3,19.4,0.5723701560529585
Quentin Grimes,23.0,DET,7.0,2.0,1.3,20.1,0.5659103546020499
