Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,next_G,next_MP,next_PTS,next_TRB,next_AST,next_STL,next_BLK,next_TOV,next_FG%,next_3P%,next_eFG%,pts_change,ast_change,trb_change,mp_change,efg_change,breakout_score,Breakout,PTS_growth,AST_growth,TRB_growth,MP_growth,eFG%_growth
A.J. Guyton,PG,23.0,CHI,45,6,13.5,2.0,5.4,0.361,1.0,2.7,0.374,0.9,2.7,0.347,0.455,0.5,0.6,0.815,0.3,0.7,1.0,1.8,0.2,0.2,0.8,0.5,5.4,2002,2,4.5,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,-5.4,-0.8,-1.0,-9.0,-0.455,-2.3148048700141826,0,-0.5999999999999996,-0.09999999999999987,-0.10000000000000009,-5.600000000000001,-0.021999999999999964
A.J. Price,PG,24.0,IND,50,0,15.9,2.3,6.4,0.356,0.8,3.0,0.275,1.5,3.4,0.427,0.42,1.1,1.6,0.667,0.3,1.1,1.4,2.2,0.6,0.0,1.1,1.2,6.5,2011,44,12.9,3.9,1.4,2.0,0.5,0.0,0.7,0.339,0.295,0.414,-2.6,-0.20000000000000018,0.0,-3.0,-0.006000000000000005,-0.5580387287290905,0,-0.7999999999999998,0.30000000000000027,-0.20000000000000018,0.5,-0.07400000000000001
Aaron Brooks,PG,24.0,HOU,80,35,25.0,4.0,9.8,0.404,1.4,3.9,0.366,2.5,5.9,0.428,0.476,1.9,2.2,0.866,0.4,1.6,2.0,3.0,0.6,0.1,1.6,1.9,11.2,2009,82,35.6,19.6,2.6,5.3,0.8,0.2,2.8,0.432,0.398,0.511,8.400000000000002,2.3,0.6000000000000001,10.600000000000001,0.03500000000000003,1.665787798094295,1,5.999999999999999,1.3,0.8999999999999999,13.1,-0.017000000000000015
Aaron Gordon,PF,20.0,ORL,78,37,23.9,3.5,7.4,0.473,0.5,1.8,0.296,3.0,5.6,0.531,0.509,1.7,2.5,0.668,2.0,4.5,6.5,1.6,0.8,0.7,0.8,2.0,9.2,2016,80,28.7,12.7,5.1,1.9,0.8,0.5,1.1,0.454,0.288,0.499,3.5,0.2999999999999998,-1.4000000000000004,4.800000000000001,-0.010000000000000009,0.27326199252073663,0,3.999999999999999,0.9000000000000001,2.9,6.899999999999999,0.031000000000000028
Aaron Gordon,SF,21.0,ORL,80,72,28.7,4.9,10.8,0.454,1.0,3.3,0.288,4.0,7.5,0.528,0.499,2.0,2.7,0.719,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,2017,58,32.9,17.6,7.9,2.3,1.0,0.8,1.8,0.434,0.336,0.5,4.900000000000002,0.3999999999999999,2.8000000000000007,4.199999999999999,0.0010000000000000009,0.9178314926082655,1,3.5,0.2999999999999998,-1.4000000000000004,4.800000000000001,-0.010000000000000009
Aaron Gordon,PF,22.0,ORL,58,57,32.9,6.5,14.9,0.434,2.0,5.9,0.336,4.5,9.0,0.497,0.5,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1.0,0.8,1.8,1.9,17.6,2018,78,33.8,16.0,7.4,3.7,0.7,0.7,2.1,0.449,0.349,0.507,-1.6000000000000014,1.4000000000000004,-0.5,0.8999999999999986,0.007000000000000006,-0.0706710007468618,0,4.900000000000002,0.3999999999999999,2.8000000000000007,4.199999999999999,0.0010000000000000009
Aaron Gordon,PF,23.0,ORL,78,78,33.8,6.0,13.4,0.449,1.6,4.4,0.349,4.5,9.0,0.499,0.507,2.4,3.2,0.731,1.7,5.7,7.4,3.7,0.7,0.7,2.1,2.2,16.0,2019,62,32.5,14.4,7.7,3.7,0.8,0.6,1.6,0.437,0.308,0.484,-1.5999999999999996,0.0,0.2999999999999998,-1.2999999999999972,-0.02300000000000002,-0.36599507792043545,0,-1.6000000000000014,1.4000000000000004,-0.5,0.8999999999999986,0.007000000000000006
Aaron Gordon,PF,24.0,ORL,62,62,32.5,5.4,12.4,0.437,1.2,3.8,0.308,4.2,8.5,0.494,0.484,2.4,3.6,0.674,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4,2020,50,27.7,12.4,5.7,3.2,0.7,0.7,1.9,0.463,0.335,0.522,-2.0,-0.5,-2.0,-4.800000000000001,0.038000000000000034,-0.7269912554591337,0,-1.5999999999999996,0.0,0.2999999999999998,-1.2999999999999972,-0.02300000000000002
Aaron Gray,C,24.0,CHI,56,18,12.8,1.4,3.0,0.485,0.0,0.0,0.0,1.4,3.0,0.488,0.485,0.6,1.1,0.576,1.5,2.4,3.9,0.8,0.3,0.3,0.7,2.4,3.5,2009,32,9.7,3.3,3.3,0.7,0.3,0.3,0.6,0.512,,0.512,-0.20000000000000018,-0.10000000000000009,-0.6000000000000001,-3.1000000000000014,0.027000000000000024,-0.27703559806185607,0,-0.7999999999999998,0.10000000000000009,1.1,2.8000000000000007,-0.020000000000000018
Aaron Holiday,PG,23.0,IND,66,33,24.5,3.5,8.5,0.414,1.3,3.3,0.394,2.2,5.2,0.427,0.491,1.1,1.3,0.851,0.3,2.0,2.4,3.4,0.8,0.2,1.3,1.8,9.5,2020,66,17.8,7.2,1.3,1.9,0.7,0.2,1.0,0.39,0.368,0.467,-2.3,-1.5,-1.0999999999999999,-6.699999999999999,-0.023999999999999966,-1.038301349247773,0,3.5999999999999996,1.7,1.0999999999999999,11.6,0.008000000000000007
Aaron Holiday,PG,24.0,IND,66,8,17.8,2.6,6.6,0.39,1.0,2.8,0.368,1.6,3.8,0.406,0.467,1.0,1.3,0.819,0.2,1.1,1.3,1.9,0.7,0.2,1.0,1.4,7.2,2021,63,16.2,6.3,1.9,2.4,0.7,0.1,1.1,0.447,0.379,0.504,-0.9000000000000004,0.5,0.5999999999999999,-1.6000000000000014,0.03699999999999998,-0.04087604477409161,0,-2.3,-1.5,-1.0999999999999999,-6.699999999999999,-0.023999999999999966
Aaron Nesmith,SF,22.0,BOS,52,3,11.0,1.4,3.5,0.396,0.6,2.2,0.27,0.8,1.3,0.612,0.481,0.4,0.5,0.808,0.3,1.4,1.7,0.4,0.4,0.1,0.6,1.3,3.8,2022,73,24.9,10.1,3.8,1.3,0.8,0.5,1.0,0.427,0.366,0.525,6.3,0.9,2.0999999999999996,13.899999999999999,0.04400000000000004,1.4947913181058918,1,-0.9000000000000004,-0.09999999999999998,-1.0999999999999999,-3.5,-0.07000000000000006
